""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T10g02750"	14149.3876507119	0.752451767945307	0.10578006706985	7.11336066225444	1.13250816990213e-12	1.47496402747189e-10	"Yes"	"No"	"No"
"CaT2T03g05066"	3269.47394457104	0.820734108771549	0.115421353166076	7.1107649170481	1.15401560656242e-12	1.49334058010741e-10	"Yes"	"No"	"No"
"CaT2T04g01109"	3840.11765401907	0.655285112529551	0.0923388402421817	7.09652742887936	1.27930566354872e-12	1.64492633312472e-10	"Yes"	"No"	"No"
"CaT2T01g03685"	2293.6751688131	-1.07200899952157	0.151238484927303	-7.08820245083033	1.35865120897418e-12	1.73589189592164e-10	"Yes"	"No"	"Yes"
"CaT2T01g00785"	603.948271909921	1.31823318293174	0.186025741252404	7.08629447761819	1.37750536496902e-12	1.74891200016538e-10	"Yes"	"Yes"	"No"
"CaT2T11g02009"	1830.96761762677	-0.93056346427622	0.13175177452499	-7.06300516734001	1.62939661065222e-12	2.05578933620227e-10	"Yes"	"No"	"No"
"CaT2T02g02702"	13263.9867347369	0.600875533100254	0.0852166356246787	7.05115296673646	1.77441295658761e-12	2.22484933879715e-10	"Yes"	"No"	"No"
"CaT2T12g02589"	6580.67340216313	0.584186517529868	0.0829007506055549	7.04681819238828	1.83055239610731e-12	2.28107168026039e-10	"Yes"	"No"	"No"
"CaT2T06g00936"	497.413355305501	-1.04326099232696	0.148225066723181	-7.03835738037016	1.94519259298172e-12	2.40905539107497e-10	"Yes"	"No"	"Yes"
"CaT2T03g02308"	1799.47764578414	-0.773648921919886	0.110400383557122	-7.00766516376818	2.42327880298381e-12	2.96842011493498e-10	"Yes"	"No"	"No"
"CaT2T08g03034"	3306.87059438703	0.663537843986491	0.0946897615708444	7.00749302753339	2.42626105396677e-12	2.96842011493498e-10	"Yes"	"No"	"No"
"CaT2T09g00914"	1029.93070939012	-0.763818541015858	0.109029450928611	-7.0056166889805	2.45900288925255e-12	2.99035489911695e-10	"Yes"	"No"	"No"
"CaT2T01g00521"	981.714750868086	0.859210861974993	0.122758209327835	6.99921306020685	2.57404170734837e-12	3.11150778121207e-10	"Yes"	"No"	"No"
